file,family,members,tris,verts,dim_x,dim_y,dim_z,materials,bytes
Limestone paving/Limestone paving__n180.glb,Limestone paving,180,12,8,0.731,0.731,0.11,Stone | timeworn limestone,2032
Attendant bench/Attendant bench bronze plate__n54.glb,Attendant bench,54,12,8,0.22,0.025,0.065,Verdigris bronze.001,2020
Column bronze/Column bronze collar__n24.glb,Column bronze,24,124,64,0.51,0.51,0.18,Verdigris bronze.001,6084
Lantern corner/Lantern corner__n24.glb,Lantern corner,24,12,8,0.025,0.025,0.44,Verdigris bronze.001,1992
Raised bronze/Raised bronze panel__n24.glb,Raised bronze,24,12,8,0.45,0.065,0.445,Bronze | exposed cast edges;Hero bronze | layered oxidation,2020
Panel bronze/Panel bronze rail__n18.glb,Panel bronze,18,12,8,0.04,1.87,0.055,Verdigris bronze.001,2008
Panel timber/Panel timber stile__n18.glb,Panel timber,18,12,8,0.13,0.045,0.89,Craft timber | beam | Z,2172
Attendant bench/Attendant bench leg__n16.glb,Attendant bench,16,12,8,0.1,0.1,0.43,Craft timber | furniture | Z,2180
Frame hardwood/Frame hardwood drawbore peg__n16.glb,Frame hardwood,16,76,40,0.056,0.056,0.052,Craft timber | frame | Z,5716
Low offering/Low offering table leg__n16.glb,Low offering,16,12,8,0.1,0.1,0.73,Craft timber | furniture | Z,2188
Strap rivet/Strap rivet__n16.glb,Strap rivet,16,76,40,0.062,0.062,0.045,Bronze | exposed cast edges,5536
Lantern cap/Lantern cap__n12.glb,Lantern cap,12,12,8,0.32,0.36,0.07,Verdigris bronze.001,1996
Offering vessel/Offering vessel__n12.glb,Offering vessel,12,92,48,0.14,0.14,0.13,Verdigris bronze.001,4848
Ring mounting/Ring mounting boss__n12.glb,Ring mounting,12,76,40,0.108,0.108,0.095,Bronze | exposed cast edges,5540
Rack top/Rack top finial__n10.glb,Rack top,10,12,8,0.13,0.16,0.22,Verdigris bronze.001,1988
Small bell/Small bell crown__n10.glb,Small bell,10,124,64,0.08,0.08,0.13,Worn golden bronze.001,6072
Attendant bench/Attendant bench apron__n8.glb,Attendant bench,8,12,8,1.35,0.09,0.24,Craft timber | furniture | X,2180
Column capital/Column capital__n8.glb,Column capital,8,12,8,0.72,0.64,0.23,Craft timber | column | X,2168
Frame protective/Frame protective strap__n8.glb,Frame protective,8,12,8,0.23,0.055,0.51,Verdigris bronze.001,2012
Low offering/Low offering table apron__n8.glb,Low offering,8,12,8,1.45,0.09,0.24,Craft timber | furniture | X,2184
Timber column/Timber column__n8.glb,Timber column,8,124,64,0.46,0.46,4.7,Craft timber | column | Z;Timber | softened worn arrises,6248
Lantern bracket/Lantern bracket__n6.glb,Lantern bracket,6,12,8,0.42,0.1,0.1,Verdigris bronze.001,2004
Lantern parchment/Lantern parchment__n6.glb,Lantern parchment,6,12,8,0.24,0.28,0.4,Warm luminous parchment,2244
Wall timber/Wall timber panel__n6.glb,Wall timber,6,12,8,0.1,1.8,0.95,Craft timber | beam | Y,2172
Longitudinal ceiling/Longitudinal ceiling timber__n5.glb,Longitudinal ceiling,5,12,8,0.16,11.2,0.2,Craft timber | beam | Y,2148
Attendant bench/Attendant bench top__n4.glb,Attendant bench,4,12,8,1.5,0.32,0.13,Craft timber | furniture | X,2136
Ceremonial table/Ceremonial table leg__n4.glb,Ceremonial table,4,12,8,0.1,0.1,0.74,Craft timber | furniture | Z;Timber | softened worn arrises,2184
Cross ceiling/Cross ceiling beam__n4.glb,Cross ceiling,4,12,8,9.15,0.28,0.38,Craft timber | beam | X,2152
Earthen jar/Earthen jar__n4.glb,Earthen jar,4,92,48,0.22,0.22,0.35,Earth plaster.001,4900
